Time,Value,exported_instance,exported_job,http_method,http_route,http_status_code,instance,job,service_name,span_kind,span_name,status_code
2024-08-22 08:01:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:01:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:01:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:02:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:02:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:02:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:02:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:03:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:03:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:03:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:03:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:04:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:04:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:04:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:04:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:05:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:05:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:05:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:05:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:06:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:06:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:06:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:06:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:07:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:07:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:07:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:07:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:08:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:08:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:08:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:08:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:09:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:09:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:09:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:09:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:10:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:10:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:10:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:10:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:11:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:11:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:11:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:11:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:12:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:12:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:12:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:12:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:13:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:13:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:13:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:13:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:14:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:14:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:14:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:14:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:15:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:15:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:15:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:15:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:16:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:16:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:16:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:16:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:17:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:17:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:17:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:17:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:18:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:18:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:18:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:18:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:19:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:19:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:19:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:19:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:20:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:20:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:20:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:20:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:21:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:21:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:21:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:21:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:22:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:22:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:22:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:22:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:23:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:23:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:23:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:23:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:24:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:24:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:24:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:24:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:25:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:25:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:25:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:25:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:26:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:26:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:26:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:26:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:27:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:27:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:27:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:27:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:28:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:28:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:28:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:28:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:29:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:29:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:29:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:29:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:30:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:30:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:30:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:30:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:31:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:31:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:31:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:31:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:32:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:32:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:32:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:32:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:33:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:33:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:33:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:33:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:34:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:34:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:34:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:34:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:35:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:35:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:35:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:35:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:36:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:36:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:36:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 08:36:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,HEAD / http send,STATUS_CODE_UNSET
2024-08-22 07:36:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,OPTIONS / http send,STATUS_CODE_UNSET
2024-08-22 07:37:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,OPTIONS / http send,STATUS_CODE_UNSET
2024-08-22 07:37:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,OPTIONS / http send,STATUS_CODE_UNSET
2024-08-22 07:37:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,OPTIONS / http send,STATUS_CODE_UNSET
2024-08-22 07:37:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,OPTIONS / http send,STATUS_CODE_UNSET
2024-08-22 07:38:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,OPTIONS / http send,STATUS_CODE_UNSET
2024-08-22 07:38:15,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,OPTIONS / http send,STATUS_CODE_UNSET
2024-08-22 07:38:30,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,OPTIONS / http send,STATUS_CODE_UNSET
2024-08-22 07:38:45,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,OPTIONS / http send,STATUS_CODE_UNSET
2024-08-22 07:39:00,0.0,,fastapi,,,405,otel-collector:8889,aggregated-trace-metrics,fastapi,SPAN_KIND_INTERNAL,OPTIONS / http send,STATUS_CODE_UNSET
